id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
Rhap_M2006-45,43,8,Baptiste,Baptiste,2,y,"le président de l'Unef, Jean-Baptiste Prévot, au micro de Sonia Bourane."
Rhap_M2006-45,43,14,Sonia,Sonia,2,y,"le président de l'Unef, Jean-Baptiste Prévot, au micro de Sonia Bourane."
Rhap_M2006-46,44,4,Barack,Barack,6,y,"aux États-Unis, Barack Obama a promulgué son plan de relance adopté ce week-end par le congrès."
Rhap_M2006-48,46,22,président,président,1,y,"un autre plan, destiné, celui-là, à ralentir les saisies immobilières, devrait être annoncé aujourd'hui par le président américain."
Rhap_M2006-49,47,4,millions,million,4,y,cela concerne plusieurs millions d'américains à la rue faute de pouvoir payer leur crédit.
Rhap_M2006-49,47,6,américains,américain,1,y,cela concerne plusieurs millions d'américains à la rue faute de pouvoir payer leur crédit.
Rhap_M2006-51,49,1,General,General,4,y,General Motors et Chrysler ont présenté hier leur plan de restructuration à l'administration Obama.
Rhap_M2006-51,49,4,Chrysler,Chrysler,10,y,General Motors et Chrysler ont présenté hier leur plan de restructuration à l'administration Obama.
Rhap_M2006-51,49,14,administration,administration,4,y,General Motors et Chrysler ont présenté hier leur plan de restructuration à l'administration Obama.
Rhap_M2006-53,51,5,vous,vous,5,y,"tout est bon, vous le verrez, avec Bertrand Vanier."
Rhap_M2006-53,51,10,Bertrand,Bertrand,2,y,"tout est bon, vous le verrez, avec Bertrand Vanier."
Rhap_M2006-54,52,4,évadés,évadé,1,y,"l'affaire des évadés de la prison de Moulins arrêtés hier matin, vous le savez, après trente-six heures de cavale."
Rhap_M2006-54,52,14,vous,vous,5,y,"l'affaire des évadés de la prison de Moulins arrêtés hier matin, vous le savez, après trente-six heures de cavale."
Rhap_M2006-55,53,11,garde,garde,1,n,la compagne de l'un des détenus est toujours en garde à vue.
Rhap_M2006-56,54,2,enquêteurs,enquêteur,1,y,les enquêteurs cherchent maintenant à savoir si elle a été complice dans cette évasion.
Rhap_M2006-57,55,1,elle,lui,4,y,elle se trouvait dans le parloir de la prison au moment où les deux détenus se sont fait la belle.
Rhap_M2006-58,56,4,Yvan,Yvan,2,y,le procès d'Yvan Colonna tourne à la foire d'empoigne.
Rhap_M2006-60,58,2,avocats,avocat,1,y,les avocats du berger corse ont quitté le procès en attendant que la cour d'assise se prononce sur leur demande de supplément d'information.
Rhap_M2006-60,58,4,berger,berger,1,y,les avocats du berger corse ont quitté le procès en attendant que la cour d'assise se prononce sur leur demande de supplément d'information.
Rhap_M2006-61,59,4,président,président,1,y,"lundi, le président avait annoncé qu'il rendrait sa décision dans un délai raisonnable, après avoir entendu notamment l'ancien préfet Bonnet."
Rhap_M2006-61,59,7,qu',que,4,n,"lundi, le président avait annoncé qu'il rendrait sa décision dans un délai raisonnable, après avoir entendu notamment l'ancien préfet Bonnet."
Rhap_M2006-61,59,23,préfet,préfet,1,y,"lundi, le président avait annoncé qu'il rendrait sa décision dans un délai raisonnable, après avoir entendu notamment l'ancien préfet Bonnet."
Rhap_M2006-61,59,24,Bonnet,Bonnet,2,n,"lundi, le président avait annoncé qu'il rendrait sa décision dans un délai raisonnable, après avoir entendu notamment l'ancien préfet Bonnet."
Rhap_M2006-63,61,1,on,on,5,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-63,61,4,Sollacaro,Sollacaro,2,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-63,61,6,il,lui,40,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-63,61,9,avocat,avocat,1,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-63,61,13,avocats,avocat,1,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-63,61,15,Yvan,Yvan,2,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-63,61,21,Christian,Christian,2,y,"on écoute maître Sollacaro , il est l'avocat, l'un des avocats d'Yvan Colonna, au micro de Christian Binner."
Rhap_M2006-64,62,2,Philippe,Philippe,2,y,"pour Philippe Lemaire, l'avocat des parties civiles, c'est d~, ce sont des procédés terroristes."
Rhap_M2006-64,62,6,avocat,avocat,1,y,"pour Philippe Lemaire, l'avocat des parties civiles, c'est d~, ce sont des procédés terroristes."
Rhap_M2006-65,63,5,Laurent,Laurent,2,y,il le dit à Laurent Doulsant.
Rhap_M2006-68,66,9,constructeurs,constructeur,1,y,"et derrière un sourire de façade, les constructeurs ne réagissent pas tous de la même façon, Hélène Chevalier."
Rhap_M2006-68,66,19,Hélène,Hélène,2,y,"et derrière un sourire de façade, les constructeurs ne réagissent pas tous de la même façon, Hélène Chevalier."
Rhap_M2006-70,68,1,on,on,5,y,on jouait trois matchs en retard dans la vingtième journée de ligue un hier.
Rhap_M2006-73,71,1,Nice,Nice,4,y,Nice s'impose à Nancy deux à un.
Rhap_M2006-73,71,5,Nancy,Nancy,4,y,Nice s'impose à Nancy deux à un.
